,Location,Total H2 production,Peak hourly H2,H2 pressure
Stadtwerke Tübingen,Tübingen,65000,5.237711523,40
Farinetz GmbH,Reutlingen,15600,1.257050766,40
Stadtwerke Mössingen,Mössingen,13000,1.047542305,40
Green Innovation Park GmbH,Rosenfeld,65000,5.237711523,40
SolarComplex,Münsingen,47828,5.459790405,40
SOWITEC (2 MWp PV),Burladingen,28644,3.269880748,40
Schwörer Haus (600 kWp PV),Hohenstein,13710,1.565117607,40
SAB,Bahnhof Münsingen,4812,0.549306774,40
SOWITEC (18 MW wind),Sonnenbühl,109839,12.53873381,40
SOWITEC (1.8 MW wind),Burladingen,41079,4.68941054,40
