,Location,Total H2 production,Peak hourly H2,H2 pressure
Stadtwerke Tübingen,Tübingen,0,0,40
Farinetz GmbH,Reutlingen,0,0,40
Stadtwerke Mössingen,Mössingen,0,0,40
Green Innovation Park GmbH,Rosenfeld,0,0,40
SolarComplex,Münsingen,0,0,40
SOWITEC (2 MWp PV),Burladingen,0,0,40
Schwörer Haus (600 kWp PV),Hohenstein,0,0,40
SAB,Bahnhof Münsingen,0,0,40
SOWITEC (18 MW wind),Sonnenbühl,410792,46.8941054,40
SOWITEC (1.8 MW wind),Burladingen,0,0,40
