,Location,Total H2 production,Peak hourly H2,H2 pressure
Stadtwerke Tübingen,Tübingen,999999,114.155137,40
Farinetz GmbH,Reutlingen,999999,114.155137,40
Stadtwerke Mössingen,Mössingen,999999,114.155137,40
Green Innovation Park GmbH,Rosenfeld,999999,114.155137,40
SolarComplex,Münsingen,999999,114.155137,40
SOWITEC (2 MWp PV),Burladingen,999999,114.155137,40
Schwörer Haus (600 kWp PV),Hohenstein,999999,114.155137,40
SAB,Bahnhof Münsingen,999999,114.155137,40
SOWITEC (18 MW wind),Sonnenbühl,999999,114.155137,40
SOWITEC (1.8 MW wind),Burladingen,999999,114.155137,40
